31,Safbrew T-58 Dry Brewing Yeast,13,76,59,75,Medium,11.5,11.5,A speciality yeast selected for its estery somewhat peppery and spicy flavour development.  Also recommended for bottle-conditioning of beers. Excellent performance in beers with alcohol contents of up to 8.5% v/v but can ferment up to 11.5% v/v.,,
32,Safbrew WB-06 Dry Brewing Yeast,14,76,59,75,Low,,,"A speciality yeast selected for wheat beer fermentations. The yeast produces subtle estery and
phenol flavour notes typical of wheat beers.",,
33,Saflager S-189 Dry Lager,15,72,48,59,High,,,"Originating from the Hürlimann brewery in Switzerland, also under collection at Weihenstephan under number ""W195"", this very popular strain is used by a large number of commercial breweries. Selected for its fairly neutral flavour development, this yeast is recommended for a wide range of lager and pilsen beers.",,
34,Saflager S-23 Fermentis Dry Lager,16,72,48,59,High,,,This bottom fermenting yeast is originating from the VLB (Berlin) in Germany and is known under the code RH. The strain is used by Western European commercial breweries and has been reported to produce lagers with some fruity and estery notes.,,
35,Saflager W-34/70 Fermentis Dry Lager,17,72,48,59,High,,,"This famous yeast strain from Weihenstephan in Germany is used world-wide within the brewing industry. Thanks to its technological properties, this strain has become the most popular strain for lager brewing and is used by industrial breweries and brewing groups around the globe.",,
36,The Yeast Bay - Amalgamation Brettanomyces Super Blend,17.01,85,65,78,Low,,,"Amalgamation is the union of our six favorite Brettanomyces isolates from our microbe library. Each isolate produces a unique bouquet of bright and fruity flavors and aromas, and the combination of all of them into one blend results in the coalescence of these unique flavors and aromas into something truly special.
Expect this blend to create a dry beer with a bright and complex fruit-forward flavor and aroma, accompanied by some funk on the palate.",,
37,The Yeast Bay - Beersel Brettanomyces Blend,17.05,78,66,72,Low - Medium,,,This blend combines Brettanomyces strains isolated from a lambic produced in the Beersel area in the Belgian province of Flemish Brabant. All of the strains in this blend provide a balanced profile of fruitiness and funkiness. This blend tends to be a quick starter and forms a nice pellicle. The resulting beer is balanced with a bright and crisp finish. ,,
38,The Yeast Bay - Brussels Brettanomyces Blend,17.1,80,66,72,Low - Medium,,,"This blend combines Brettanomyces strains isolated from a unique lambic produced in the Brussels region of Belgium. All of the isolates in this blend produce a pronounced barnyard funk with mild acidity and very little fruitiness. This blend can be a little slow to start up, but is a great addition to any beer that you want to funk up.",,
39,The Yeast Bay - Dry Belgian Ale,17.15,92.5,70,76,Medium - High,,,"Dry Belgian Ale is single strain of Saccharomyces cerevisiae isolated from a unique golden strong ale. The profile is a complex and balanced mix of apple, pear and light citrus fruit with some mild spicy and peppery notes. The apparent attenuation of this strain ranges anywhere from 85-100%, depending upon the mash profile and the grist composition.
For a yeast that's as dry as it is, it creates beers with a surprising amount of balance even without the use of specialty grains or adjuncts. While we haven't completed our own tests in house, this yeast is used at the brewery from which it was isolated to make big beers that are in the neighborhood of 12-16% ABV and sufficiently dry. Use Dry Belgian Ale as a primary fermenter in any big Belgian beer, or to unstick that pesky stuck fermentation.
To achieve high attenuation, we recommend fermenting with this strain at 70-71 ºF for the first 2-3 days, and then bumping up the temperature to 74-75 ºF for the remainder of fermentation.",,
40,The Yeast Bay - Farmhouse Sour Ale,17.2,85,70,78,Low - Medium,,,"Farmhouse Sour Ale is a blend of Saccharomyces and Lactobacillus. It was formulated for brewers wishing to create a saison with a balanced acid profile that complements the complex esters of our unique farmhouse/saison yeast strains, but without the Brettanomyces funk.
This blend contains two farmhouse/saison Saccharomyces cerevisiae isolates,  Lactobacillus brevis, and Lactobacillus delbreuckii. The two Saccharomyces strains will combine to create a delightful ester profile of grapefruit and orange zest, accompanied by a mild earthiness and spiciness. The two Lactobacillus strains will produce a balanced acid profile, given a suitable supply of accessible carbohydrates that remain after the bulk of fermentation has been completed by Saccharomyces.
Expect this blend to take 1-3 months to begin creating appreciable levels of acidity, depending upon the mash and fermentation temperature and the IBU. Higher mash and fermentation temperatures and lower (0-5) IBU will produce elevated levels of acidity faster. Lower mash and fermentation temperatures and higher (10+) IBU will produce lower levels of acidity more slowly.
Approximately 53 billion cells/vial.",,
41,The Yeast Bay - Funktown Pale Ale,17.25,79,68,74,Low - Medium,,,"Funktown Pale Ale is a blend of our Vermont Ale strain and a unique strain of Brettanomyces that is well suited for primary fermentation. The combination of the citrus/peach esters from the Vermont Ale strain and the very light funk and pineapple/mango esters from the Brettanomyces produces a unique flavor and aroma profile that is fruit-forward. Expect this blend to finish drier than the Vermont Ale.
We recommend following a similar fermentation scheme as is used for the Vermont Ale, fermenting at 67-69 ºF for 3-4 days, and then raising the temperature to 72 ºF until a stable gravity is reached.
Approximately 58 billion cells/vial.
",,
42,The Yeast Bay - Lochristi Brettanomyces Blend,17.3,80,66,72,Low - Medium,,,"This blend combines Brettanomyces strains isolated from a unique beer produced in the Lochristi area in East Flanders. One strain provides a moderate funk and light fruitiness, while the other strain adds a more assertive fruitiness dominated by hints of strawberry. This blend also imparts a pleasant acidity over time that helps to balance out the profile of the finished beer. It can be slow to start up.
",,
43,The Yeast Bay - Melange - Sour Blend,17.35,85,68,78,Low - Medium,,,"If you dig using a diverse array of unique organisms to create balanced sour beers, this delightful medley of microbes is sure to please!
Mélange is our most varied mix of fermentative organisms, intended for use in the production of sour beers in which a balance of funk and sourness is desired. This blend contains two Saccharomyces cerevisiae isolates, Saccharomyces fermentati, five Brettanomyces isolates, Lactobacillus brevis, Lactobacillus delbreuckii and Pediococcus damnosus.
If you want acidity quickly, we recommend keeping the IBU low (0-5 IBU), starting with a fermentation temperature of 70-72 ºF for the first few days and then raising the temperature to 75-80 ºF to encourage development of sourness (Lactobacillus, Pediococcus). For a slower developing beer that exhibits a rounded balance of funk (Brettanomyces) and sourness we recommend ~5-10 IBU, mashing on the high end, fermenting at 68 ºF and holding at that temperature for an extended period of time.
Approximately 29 bilion cells/vial.",,
44,The Yeast Bay - Northeastern Abbey,17.4,79,68,73,Low - Medium,,,"This yeast was isolated from a beer crafted by a well-known producer of Belgian-style ales in the Northeastern United States. This yeast produces a very mild spiciness and earthy flavor and aroma which is complemented by a subtle but magnificent array of fruity esters, including pear and light citrus fruit.
The brewery from which this strain was isolated uses it in a very versatile manner across an array of Belgian styles. We prefer using this yeast for any and all light Belgian beers, including Wit, Belgian Pale and Belgian Blond, in addition to any experimental fruit beers in which a more unique and robust flavor and aroma profile is desired. Expect this yeast to produce a large, thick krausen.
",,
45,The Yeast Bay - Saison Blend,17.45,79,68,80,Low - Medium,,,"A blend of two unique yeast strains isolated from beers that embody the saison style, this blend is a balance of the many characteristic saison flavors and aromas. One yeast strain is a good attenuator that produces a spicy and mildly tart and tangy beer with a full mouthfeel. The other yeast strain is also a good attenuator that produces a delightful ester profile of grapefruit and orange zest and imparts a long, dry and earthy finish to the beer. Together, they produce a dry but balanced beer with a unique flavor and aroma profile.",,
46,The Yeast Bay - Saison Brettanomyces Belnd,17.5,80,70,78,Low - Medium,,,"This blend combines one of the Saccharomyces strains from the Saison Blend and two unique Brettanomyces isolates from our yeast library. The Saccharomyces yeast strain is a strong attenuator that produces a delightful ester profile of grapefruit and orange zest and imparts a long, dry and earthy finish to the beer. The Brettanomyces strains are both good attenuators that produce some fruity esters and mild funk, and add a bright character to the beer. The combination of these yeast produces a dry but balanced character with a delightful ester profile and just the right amount of funk.
Approximately 58 billion cells/vial.",,
47,The Yeast Bay - Vermont Ale,17.55,78.5,64,72,Low - Medium,,,"Isolated from a uniquely crafted double IPA out of the Northeastern United States, this yeast produces a balanced fruity ester profile of peaches and light citrus that complements any aggressively hopped beer. Expect this strain to take off fast and ferment wort quickly, though elevating the temperature following the bulk of fermentation may be required to raise the attenuation.
In order to achieve high attenuation, we recommend fermenting at 66-68 ºF for 3-4 days, and then raising the temperature to 72 ºF until a stable gravity is reached. We also recommend mashing at 148-149 ºF and adding a small percentage of the fermentables (~ 5-10%) as sugar.
Attenuation has also been reported to increase when repitching after the first generation.",,
48,The Yeast Bay - Wallonian Farmhouse,17.6,84.5,68,78,Medium,,,"Isolated from a unique farmhouse-style ale that hails from the Walloon region of Belgium, this yeast is one of the funkiest ""clean"" yeast we have in our stable. It imparts a slight earthy funk and tart character to the beer, and is a very mild producer of some slightly spicy and mildly smokey flavor compounds.
This yeast exhibits absurdly high attenuation, resulting in a practically bone-dry beer. If desired, we recommend controlling the dryness by adjusting the mash temperature or adding malts or adjuncts to the mash tun that will lend some body and residual sweetness to the beer.
Use this yeast for any farmhouse style or experimental Belgian ale.",,
49,WLP001 White Labs California Ale,18,76.5,68,73,Medium,10,15,"This yeast is famous for its clean flavors, balance and ability to be used in almost any style ale. It accentuates the hop flavors and is extremely versatile.",,Sierra Nevada
50,WLP002 White Labs English Ale,19,66.5,65,68,Very High,5,10,"A classic ESB strain from one of England's largest independent breweries. This yeast is best suited for English style ales including milds, bitters, porters, and English style stouts. This yeast will leave a beer very clear, and will leave some residual sweetness.",,
51,WLP004 White Labs Irish Ale,20,71.5,65,68,Medium - High,8,12,"This is the yeast from one of the oldest stout producing breweries in the world. It produces a slight hint of diacetyl, balanced by a light fruitiness and slight dry crispness. Great for Irish ales, stouts, porters, browns, reds and a very interesting pale ale. ",,
52,WLP005 White Labs British Ale,21,70.5,65,70,High,5,10,"This yeast is a little more attenuative than WLP002. Like most English strains, this yeast produces malty beers. Excellent for all English style ales including bitter, pale ale, porter, and brown ale.",,
53,WLP006 White Labs Bedford British,22,76,65,70,High,5,10,"Ferments dry and flocculates very well. Produces a distinctive ester profile. Good choice for most English style ales including bitter, pale ale, porter, and brown ale.",,
54,WLP007 White Labs Dry English Ale,23,75,65,70,Medium - High,8,12,"Clean, highly flocculent, and highly attenuative yeast. This yeast is similar to WLP002 in flavor profile, but is 10% more attenuative. This eliminates the residual sweetness, and makes the yeast well suited for high gravity ales. It is also reaches terminal gravity quickly. 80% attenuation will be reached even with 10% ABV beers. ",,
55,WLP008 White Labs East Coast Ale,24,72.5,68,73,Low - Medium,5,10,"Our ""Brewer Patriot"" strain can be used to reproduce many of the American versions of classic beer styles. Similar neutral character of WLP001, but less attenuation, less accentuation of hop bitterness, slightly less flocculation, and a little tartness. Very clean and low esters. Great yeast for golden, blonde, honey, pales and German alt style ales.",,
56,WLP009 White Labs Australian Ale,25,72.5,65,70,High,5,10,"Produces a clean, malty beer. Pleasant ester character, can be described as ""bready."" Can ferment successfully, and clean, at higher temperatures. This yeast combines good flocculation with good attenuation.",,
57,WLP011 White Labs European Ale,26,67.5,65,70,Medium,5,10,"Malty, Northern European-origin ale yeast. Low ester production, giving a clean profile. Little to no sulfur production. Low attenuation helps to contribute to the malty character. Good for Alt, Kolsch, malty English ales, and fruit beers.",,
58,WLP013 White Labs London Ale,27,71,66,71,Medium,5,10,"Dry, malty ale yeast. Provides a complex, oakey ester character to your beer. Hop bitterness comes through well. This yeast is well suited for classic British pale ales, bitters, and stouts. Does not flocculate as much as WLP002 and WLP005.",,
59,WLP022 White Labs Essex Ale,28,73.5,66,70,Medium - High,5,10,"Flavorful British style yeast. Drier finish than many British ale yeast. Produces slightly fruity and bready character.    Good top fermenting yeast strain, is well suited for top cropping (collecting). This yeast is well suited for classic British milds, pale ales, bitters, and stouts. Does not flocculate as much as WLP002 and WLP005.",,
60,WLP023 White Labs Burton Ale,29,72,68,73,Medium,5,10,"From the famous brewing town of Burton upon Trent, England, this yeast is packed with character. It provides delicious subtle fruity flavors like apple, clover honey and pear. Great for all English styles, IPA's, bitters, and pales. Excellent in porters and stouts. ",,
61,WLP028 White Labs Edinburgh Scottish Ale,30,72.5,65,70,Medium,8,12,"Scotland is famous for its malty, strong ales. This yeast can reproduce complex, flavorful Scottish style ales. This yeast can be an everyday strain, similar to WLP001. Hop character is not muted with this strain, as it is with WLP002. Does not ferment well less than 62°F (17°C)
",,
62,WLP029 White Labs German Ale / Kolsch,31,75,65,69,Medium,5,10,"From a small brewpub in Cologne, Germany, this yeast works great in Kölsch and Alt style beers. Good for light beers like blond and honey. Accentuates hop flavors, similar to WLP001. The slight sulfur produced during fermentation will disappear with age and leave a super clean, lager like ale. Does not ferment well less than 62°F(17°C), unless during active fermentation.
",,
63,WLP036 White Labs Dusseldorf Alt,32,68.5,65,69,Medium,5,10,"Traditional Alt yeast from Dusseldorf, Germany. Produces clean, slightly sweet alt beers. Does not accentuate hop flavor as WLP029 does. ",,
64,WLP037 White Labs Yorkshire Square Ale,33,70,65,69,High,8,12,"This yeast produces a beer that is malty, but well-balanced. Expect flavors that are toasty with malt-driven esters. Highly flocculent and good choice for English pale ales, English brown ales, and mild ales.",,
65,WLP038 White Labs Manchester Ale,34,72,65,70,Medium - High,8,12,"Top-fermenting strain that is traditionally good for top-cropping. Moderately flocculent with a clean, dry finish. Low ester profile, producing a highly balanced English-style beer.",,
66,WLP039 White Labs Nottingham Ale,35,77.5,66,70,Medium - High,5,10,"British style ale yeast with a very dry finish. Medium to low fruit and fusel alcohol production. Good top fermenting yeast strain, is well suited for top cropping (collecting). This yeast is well suited for pale ales, ambers, porters, and stouts.",,
67,WLP041 White Labs Pacific Ale,36,67.5,65,68,High,5,10,"A popular ale yeast from the Pacific Northwest. The yeast will clear from the beer well, and leave a malty profile. More fruity than WLP002, English Ale Yeast. Good yeast for English style ales including milds, bitters, IPA, porters, and English style stouts. ",,
68,WLP051 White Labs California Ale V,37,72.5,66,70,Medium - High,8,12,"From Northern California. This strain is more fruity than WLP001, and slightly more flocculent. Attenuation is lower, resulting in a fuller bodied beer than with WLP001. ",,
69,WLP060 White Labs American Ale Blend,38,76,68,72,Medium,8,12,"Our most popular yeast strain is WLP001, California Ale Yeast. This blend celebrates the strengths of California- clean, neutral fermentation, versatile usage, and adds two other strains that belong to the same 'clean/neutral' flavor category. The additional strains create complexity to the finished beer. This blend tastes more lager like than WLP001. Hop flavors and bitterness are accentuated, but not to the extreme of California. Slight sulfur will be produced during fermentation. ",,
70,WLP072 White Labs French Ale,38.5,71.5,63,73,Medium - High,5,10,"Clean strain that complements malt flavor. Low to moderate esters, when fermentation temperature is below 70F.  Moderate plus ester character over 70F.  Low diacetyl production. Good yeast strain for Biere de Garde, blond, amber, brown ales, and specialty beers",,
71,WLP080 White Labs Cream Ale Blend,39,77.5,65,70,Medium,8,12,"This is a blend of ale and lager yeast strains.  The strains work together to create a clean, crisp, light American lager style ale. A pleasing estery aroma may be perceived from the ale yeast contribution. Hop flavors and bitterness are slightly subdued. Slight sulfur will be produced during fermentation, from the lager yeast. ",,
72,WLP085 White Labs English Ale Blend,39.5,72.5,68,72,Medium - High,5,10,"A blend of British ale yeast strains, designed to add complexity to your ale. Moderate fruitiness and mineral-like, with little to no sulfur. Drier than WLP002 and WLP005, but with similar flocculation properties. Good yeast blend for English Pale Ale, Bitter, Porter, Stout, and India Pale Ale.",,Austin Homebrew Supply Exclusive
73,WLP090 White Labs San Diego Super,40,79.5,65,68,Medium - High,10,15,"A super clean, super-fast fermenting strain. A low ester-producing strain that results in a balanced, neutral flavor and aroma profile. Alcohol-tolerant and very versatile for a wide variety of styles. Similar to California Ale Yeast WLP001 but it generally ferments faster.",,
74,WLP099 White Labs Super High Gravity Ale,41,80,65,69,Medium,15,15,Can ferment up to 25% alcohol. From England. Produces ester character that increases with increasing gravity. Malt character dominates at lower gravities.,,
75,WLP295 White Labs Pacific Coast Lager,41.25,74,50,55,Medium,5,10,"This yeast is characterized by a clean, slight malty finish and balanced aroma. It is a strong fermentor, produces slight sulfur, and low diacetyl.",,Austin Homebrew Supply Exclusive
76,WLP299 White Labs Persica Ale,41.5,75,68,78,Medium - High,8,12,"Previously called ""Columbia Ale Yeast"" from the Pacific Northwest, this strain is fruitier than WLP001 with peach/apricot notes with a slightly lower attenuation. This strain has good diacetyl reduction capability.",,Austin Homebrew Supply Exclusive
77,WLP300 White Labs Hefeweizen Ale,42,74,68,72,Low,5,10,"This famous German yeast is a strain used in the production of traditional, authentic wheat beers. It produces the banana and clove nose traditionally associated with German wheat beers and leaves the desired cloudy look of traditional German wheat beers.",,
78,WLP320 White Labs American Hefeweizen Ale,43,72.5,65,69,Low,5,10,"This yeast is used to produce the Oregon style American Hefeweizen. Unlike WLP300, this yeast produces a very slight amount of the banana and clove notes. It produces some sulfur, but is otherwise a clean fermenting yeast, which does not flocculate well, producing a cloudy beer.",,
79,WLP351 White Labs Bavarian Weizen,44,75,66,70,Low,5,10,"Former Yeast Lab W51 yeast strain, acquired from Dan McConnell. The description originally used by Yeast Lab still fits: This strain produces a classic German-style wheat beer with moderately high spicy and phenolic overtones reminiscent of cloves. Previously W51",,
80,WLP380 White Labs Hefeweizen IV Ale,45,76.5,66,70,Low,5,10,"Large clove and phenolic aroma and flavor, with minimal banana. Refreshing citrus and apricot notes. Crisp, drinkable hefeweizen. Less flocculent than WLP300, and sulfur production is higher. ",,
81,WLP400 White Labs Belgian Wit Ale,46,76,67,74,Low - Medium,5,10,"Slightly phenolic and tart, this is the original yeast used to produce Wit in Belgium.",,
82,WLP410 White Labs Belgian Wit II Ale,47,72.5,67,74,Low - Medium,5,10,"Less phenolic than WLP400, and more spicy. Will leave a bit more sweetness, and flocculation is higher than WLP400. Use to produce Belgian Wit, spiced Ales, wheat Ales, and specialty Beers. ",,
83,WLP500 White Labs Trappist Ale,48,77.5,65,72,Low - Medium,10,15,"From one of the few remaining Trappist breweries remaining in the world, this yeast produces the distinctive fruitiness and plum characteristics. Excellent yeast for high gravity beers, Belgian ales, dubbels and trippels.  Lower temperatures (under 65°F(18°C) will result in less fruity and more earthy beers.",,
84,WLP510 White Labs Belgian Bastogne Ale,49,77,66,72,Medium,10,15,"A high gravity, Trappist style ale yeast. Produces dry beer with slight acidic finish. More ‘clean’ fermentation character than WLP500 or WLP530. Not as spicy as WLP530 or WLP550. Excellent yeast for high gravity beers, Belgian ales, dubbels and trippels.",,
85,WLP515 White Labs Antwerp Ale,50,76.5,67,70,Medium,5,10,"Clean, almost lager like Belgian type ale yeast. Good for Belgian type pales ales and amber ales, or with blends to combine with other Belgian type yeast strains. Biscuity, ale like aroma present. Hop flavors and bitterness are accentuated. Slight sulfur will be produced during fermentation, which can give the yeast a lager like flavor profile.",,
86,WLP530 White Labs Abbey Ale,51,77.5,66,72,Medium - High,10,15,"Used to produce Trappist style beers. Similar to WLP500, but is less fruity and more alcohol tolerant (up to 15% ABV). Excellent yeast for high gravity beers, Belgian ales, dubbels and trippels.",,
87,WLP540 White Labs Abbey IV Ale,52,78,66,72,Medium,10,15,"An authentic Trappist style yeast. Use for Belgian style ales, dubbels, trippels, and specialty beers. Fruit character is medium, in between WLP500 (high) and WLP530 (low).",,
88,WLP545 White Labs Belgian Strong Ale,53,81.5,66,72,Medium,10,15,"From the Ardennes region of Belgium, this classic yeast strain produces moderate levels of ester and spicy phenolic character. Typically results in a dry, but balanced finish. This yeast is well suited for Belgian dark strongs, Abbey Ales, and Christmas beers.",,
89,WLP550 White Labs Belgian Ale,54,81.5,68,78,Medium,8,12,"Saisons, Belgian Ales, Belgian Reds, Belgian Browns, and White beers are just a few of the classic Belgian beer styles that can be created with this yeast strain. Phenolic and spicy flavors dominate the profile, with less fruitiness then WLP500.",,
90,WLP560 White Labs Classic Saison Blend,54.5,72.5,68,78,Medium,5,10,"This Saison blend that marries both earthy, spicy notes with fruity ester production. Slight clove-like characteristic in finished beer flavor and aroma.",,Austin Homebrew Supply Exclusive
91,WLP565 White Labs Belgian Saison I,55,70,68,75,Medium,5,10,"Classic Saison yeast from Wallonia. It produces earthy, peppery, and spicy notes. Slightly sweet. With high gravity Saisons, brewers may wish to dry the beer with an alternate yeast added after 75% fermentation. ",,
92,WLP566 White Labs Belgian Saison II,56,81.5,68,78,Medium,5,10,"Saison strain with more fruity ester production than with WLP565. Moderately phenolic, with a clove-like characteristic in finished beer flavor and aroma. Ferments faster than WLP565. ",,
