49,Indian Pale Ale (IPA),American IPA,1.056,1.075,1.01,1.018,40,60,6,15
50,Indian Pale Ale (IPA),Imperial IPA,1.075,1.09,1.012,1.02,60,100,8,15
51,German Wheat and Rye Beer,Weizen/Weissbier,1.044,1.052,1.01,1.014,28,15,2,8
52,German Wheat and Rye Beer,Dunkelweizen,1.044,1.056,1.01,1.014,10,18,14,23
53,German Wheat and Rye Beer,Weizenbock,1.064,1.08,1.015,1.022,15,30,12,25
54,German Wheat and Rye Beer,Roggenbier (German Rye),1.046,1.056,1.01,1.014,10,20,14,19
55,Belgian and French Ale,Witbier,1.044,1.052,1.008,1.012,10,20,2,4
56,Belgian and French Ale,Belgian Pale Ale,1.048,1.054,1.01,1.014,20,30,8,14
57,Belgian and French Ale,Saison,1.048,1.08,1.01,1.016,25,45,5,12
58,Belgian and French Ale,Biere de Garde,1.06,1.08,1.012,1.018,20,30,6,19
59,Sour Ale,Berliner Weisse,1.028,1.032,1.004,1.006,3,-8,2,3
60,Sour Ale,Flanders Red Ale,1.046,1.054,1.008,1.016,15,25,10,16
61,Sour Ale,Flanders Brown/Oud Bruin,1.043,1.077,1.012,1.016,15,25,15,20
62,Sour Ale,Straight (Unblended) Lambic,1.04,1.054,1,1.01,0,10,3,7
63,Sour Ale,Gueuze,1.04,1.06,1,1.006,0,10,3,7
64,Sour Ale,Fruit Lambic,1.04,1.06,1,1.01,0,10,3,7
65,Belgian Strong Ale,Belgian Blonde Ale,1.062,1.075,1.008,1.016,20,30,4,6
66,Belgian Strong Ale,Belgian Dubbel,1.062,1.075,1.01,1.018,15,25,10,14
67,Belgian Strong Ale,Belgian Tripel,1.075,1.085,1.01,1.016,25,38,4.5,6
68,Belgian Strong Ale,Belgian Golden Strong Ale,1.07,1.095,1.01,1.016,25,35,4,6
69,Belgian Strong Ale,Belgian Dark Strong Ale,1.075,1.11,1.01,1.024,15,25,15,20
70,Strong Ale,Old Ale,1.06,1.09,1.015,1.022,30,60,10,22
71,Strong Ale,English Barleywine,1.08,1.12,1.018,1.03,35,70,8,22
72,Strong Ale,American Barleywine,1.08,1.12,1.016,1.03,50,120,10,19
73,Smoke-Flavored/Wood-Aged Beer,Classic Rauchbier,1.05,1.056,1.012,1.016,20,30,14,22
